ID,Card type,Situation text,Situation illustration,Swipe left text,Swipe left effect,Swipe right text,Swipe right effect,Notes,
1,Game over card,You have pushed the team too hard. They are in open revolt! They have locked you in the Hylo toilet corridor…,Person locked behind a door looking out the window of the door,What…,End card,What…,End card,Team 0 card,
2,Game over card,"The team is thriving. Standup has become a three-hour gratitude circle. Nothing has shipped in weeks. A military product leader has been drafted for ""corrections""...",Team members in a circle holding hands,What…,End card,What…,End card,Team 100 card,
3,Game over card,You have cut one corner too many. Enshittification is rampant. The Scholarly Kitchen has published a devasting review. HR have asked for a meeting…,Teams interface with HR calling,What…,End card,What…,End card,Quality 0 card,
4,Game over card,Quality is so high the product now qualifies as a heritage site. You have been replaced by National Trust volunteers…,Old lady in national trust vest,What…,End card,What…,End card,Quality 100 card,
5,Game over card,Deadlines have slipped too often. Users have grown impatient and vibe coded their own interface. It is much better…,"Shiny, perfect interface",What…,End card,What…,End card,Deadlines 0 card,
6,Game over card,"The latest release is rushed. A rogue AI agent exploits a vulnerability. The entire product is replaced by the message ""Humans? More like Poomans, lol!",AI agent lording it over humans,What…,End card,What…,End card,Deadlines 100 card,
7,Game over card,Costs have soared. Revenue has plummeted. People from finance are arriving. They are wearing suits. They are making excel(ent) puns…,Intimidating finance person,What…,End card,What…,End card,Budget 0 card,
8,Game over card,"Congratulations Ebeneezer, you have accumulated a massive product budget. Has it suddenly got cold in here? What's that sound? Chains?",Ghost in chains Wearing a santa hat to emphasise the christmas carol reference,What…,End card,What…,End card,Budget 100 card,
9,End card,That was quick! Liz Truss sends you flowers. ,A lettuce holding flowers.,Lettuce have another go..,Start card,Lettuce have another go…,Start card,0-6 months card,
10,End card,Just a couple more months and you would have learned everyone's name…,"Hi, my name is' name sticker",I'm getting the hang of this…,Start card,I'm getting the hang of this…,Start card,7-12 months card,
11,End card,"Maybe there's a glimmer of promise somewhere deep inside you, beneath all the blunders.",A face wrapped in bandages,No more blunders…,Start card,No more blunders…,Start card,13-18 months card,
12,End card,Excellent performance. You've developed a bit of a strut around the office. You are so confident you try out a wink at a colleague. You regret it.,A face winking,Make up for that wink…,Start card,Make up for that wink…,Start card,19-24 months card,
13,End card,You're a product prodigy. Your linkedin is blowing up. Someone made a sculpture of you out of butter.,Butter sculpture of a human. Slightly melting.,I'm the greatest…,Start card,I'm the greatest…,Start card,25+ months card,
14,End card,You have weathered every challenge. The product is thriving. Netflix headhunters call. You accept their offer. You now work from your yacht,Superyacht,You weep because there are no worlds left to conquer…,Start card,You weep because there are no worlds left to conquer…,Start card,Completed all available decision cards,
15,Start card,"Congratulations you have taken over leadership of a new product. Every card presents a dilemma. 
Swipe left or right to decide your product's fate. Choose wisely - every decision has a cost!","Stylised cartoon of stereotypical middle manager influenced by Lumberg from office space saying ""Welcome aboard""",I'm pumped...,Regular draw,Let me at it…,Regular draw,Card for first playthrough,
16,Start card,"New product, new you. Ready to try again?","Stylised cartoon of stereotypical middle manager influenced by Lumberg from office space saying ""Umm. Yeah. I'm gonna need you to manage this new product""",I can do better…,Regular draw,Last time wasn't fair…,Regular draw,Card for subsequent playthroughs,
17,Regular draw,You discover the team have created a secret sleep cupboard and have a rota for using it.,"Cosy cupboard with a sleeping bag and pillows. A sleeping, snoring head just about visible poking out of the sleeping bag.",Take over the sleep cupboard. You deserve it more.,"-20 to team, +10 to deadlines, +10 to budget, then regular draw",Everyone needs a break. Head to Margate.,"Team +20, deadlines -10, budget -10, then regular draw",Team,
18,Regular draw,,,,,,,Team,
19,Card type,,,,,,,Team,
20,Card type,,,,,,,Team,
21,Card type,,,,,,,Team,
22,Card type,,,,,,,Team,
23,Regular draw,Onetrust's latest release pops up a reminder of cookie status for every user every 5 seconds. ,A giant cookie in a pop up,It takes less than 5 seconds to hit the download button.,-20 to quality then regular draw,Get on the phone to onetrust. Again.,"-10 to deadlines, +10 to quality, then regular draw",Quality,
24,Regular draw,"Engineering opens a part of the codebase last touched in 2014. The comments simply say:

""DO NOT CHANGE THIS.""",Ancient computer covered in hazard tape.,Rewrite it.,"Quality +20, Deadlines ?20, Budget ?10",Close the file slowly.,"Quality ?10, Deadlines +10",Quality,
25,Regular draw,Your business sponsor vibe coded an AI chat feature over the weekend. They want you to include it in the latest release.,AI chat feature really badly put together,Great idea…,,,,Quality,
26,Regular draw,"The UX team has created the perfect experience.

Unfortunately, it contains 14,782 frames and opening Figma has caused three company laptops to catch fire.",Laptop engulfed in flames while an enormous Figma canvas disappears into the horizon.,Engineering can build it.,"Quality +20, Deadlines ?20, Team ?10",Delete every second frame,"Quality ?20, Deadlines +20",Quality,
27,Card type,,,,,,,Quality,
28,Card type,,,,,,,Quality,
29,Regular draw,A hippo escaped from Los Angeles zoo and taken up residence in the Sage data center. The police have cut the power to tempt it out.,"Head of a hippo facing the camera, mouth open",Wait for the hippo to leave,"-10 to deadlines, +10 to budget, then regular draw","Call Fabio, the hippo wrangler","-20 to budget, +10 to deadlines, then regular draw",Deadlines,
